userid,stid,cleanliness,escalators,transportation,railfanning,safety,lodging,comnt
705-90-5286,HWH,6,3,7,9,7,2,in purus
154-90-7948,BWN,3,6,7,2,4,2,quam nec
752-46-9605,PAN,4,9,10,9,1,10,est et tempus
607-11-2666,DGR,8,2,5,6,8,4,non ligula
613-39-6385,UDL,2,8,1,9,5,6,in congue etiam
810-46-8634,RNG,4,1,5,10,7,3,pede libero
228-21-5110,ASN,3,4,1,3,1,10,neque vestibulum eget
519-54-6247,INDB,1,4,10,10,9,10,primis in faucibus
533-16-1286,DWX,1,1,5,6,1,9,maecenas ut massa
192-12-7945,UJN,8,1,2,9,9,2,felis fusce
158-08-6498,SJP,2,10,3,8,6,6,morbi odio odio
306-63-3807,BPL,3,3,1,1,6,10,quis turpis
261-66-3601,ET,6,4,9,1,1,6,nisl nunc nisl
793-63-3243,NVS,8,5,5,7,8,1,curae duis faucibus
936-89-4785,BL,1,5,3,2,4,7,rutrum nulla
424-28-8238,VAPI,6,2,10,4,3,4,duis at velit
320-53-2251,DRD,9,2,8,5,10,10,in sapien iaculis
158-28-6381,BSR,2,7,7,9,8,7,libero quis
845-77-4692,BIRD,9,3,8,8,8,7,tortor
966-49-0003,KYN,9,9,3,1,2,7,lectus aliquam sit
755-07-5344,KJT,3,6,6,6,8,7,mauris non
267-98-4629,LNL,5,4,3,1,2,10,sapien
950-50-0868,SVJR,1,9,5,8,9,8,augue a
245-55-9145,PUNE,7,5,6,3,7,1,nisl
178-76-9049,KOP,10,9,7,2,3,5,quisque
440-77-6743,MRJ,4,3,1,7,8,6,porttitor
185-70-3057,FZR,4,3,3,10,8,1,nulla
481-38-5999,KKP,6,5,3,5,2,2,curae mauris viverra
861-88-1886,GJUT,5,6,6,7,6,8,vestibulum
891-25-0943,BTI,6,9,6,3,10,2,ridiculus mus vivamus
148-30-0310,MBY,6,9,5,9,6,3,quisque porta
948-31-0934,SGRA,6,4,10,6,3,6,leo
853-70-5308,HMH,2,9,2,3,2,9,duis ac nibh
628-41-4459,PGK,7,1,2,3,5,3,eros
556-25-6044,SOG,3,9,3,7,6,3,pharetra magna
689-31-6343,LKS,2,3,7,9,2,5,erat
433-25-2300,LGH,8,9,4,9,5,7,consequat metus sapien
374-42-1297,BKN,9,8,10,5,7,3,nec
469-57-4846,DSO,10,4,9,7,2,1,consectetuer eget rutrum
664-88-4124,UDZ,3,9,4,4,5,6,tellus nisi eu
198-72-9736,ZW,8,2,3,4,5,7,morbi ut
909-66-4982,JYM,7,5,8,5,9,6,morbi vel lectus
896-20-9324,DNRP,1,8,5,3,8,5,sagittis
488-95-9331,HMT,7,4,9,10,8,6,in lectus pellentesque
698-97-3450,SDGM,10,4,5,6,2,4,vestibulum sit
527-81-7394,ASV,7,5,1,7,1,4,massa id lobortis
889-86-4046,MCA,4,1,1,6,4,6,enim
789-09-3069,PKU,6,2,8,9,2,2,nisi volutpat eleifend
789-41-8143,KGP,4,10,2,1,2,8,molestie lorem quisque
361-52-6111,TATA,9,1,3,6,9,8,nisi volutpat eleifend
951-69-5312,CKP,6,7,6,2,6,2,cubilia curae
987-21-6908,ROU,10,7,5,4,4,10,non
156-63-0731,GP,4,3,5,3,4,9,nam tristique
855-20-6906,BMB,9,6,10,10,2,10,sagittis dui
622-10-9240,JSG,7,6,1,1,7,1,iaculis diam
341-56-0784,BRJN,6,6,7,7,10,2,in faucibus orci
191-57-6085,BPH,4,6,8,6,10,3,congue eget
977-73-7713,RIG,7,4,6,6,7,2,turpis elementum ligula
211-79-8138,KHS,3,6,2,8,9,10,curae nulla
