pnr,userid,trainno,sourcest,destinationst,jdate,reservationdate,coach,total
5331054597,104-54-6952,12955,BCT,ST,11/23/2016,11/5/2016,A2,1
9672892416,565-44-7228,00125,LTT,TNA,11/28/2016,11/7/2016,A3,2
9061082612,167-69-4632,00237,UJN,BPL,11/22/2016,11/3/2016,FC,1
2755373933,757-06-5640,02951,BCT,BL,11/20/2016,11/7/2016,SL,1
8881617965,513-43-4312,04098,RTM,BCT,11/27/2016,11/1/2016,CC,2
5579863596,480-15-2173,19005,BCT,ADI,11/25/2016,11/9/2016,2S,1
6298706687,951-82-4293,19011,BCT,BL,11/23/2016,11/5/2016,SL,1
1174234294,797-39-1425,19012,BL,BCT,11/21/2016,11/11/2016,SL,1
9227192207,539-96-0813,19023,BCT,SWM,11/29/2016,11/5/2016,A2,1
6756940084,300-86-5917,09053,BCT,BGKT,11/21/2016,11/1/2016,A3,1
8555596354,288-89-0412,09053,BCT,BGKT,11/19/2016,11/4/2016,FC,2
2551486759,545-62-6512,19215,BCT,BL,11/26/2016,11/9/2016,SL,1
9464629502,568-14-0002,19215,BCT,BL,11/23/2016,11/9/2016,CC,2
1477818852,705-90-5286,59439,BCT,BRC,11/21/2016,11/8/2016,FC,1
6232385207,154-90-7948,12933,BVI,BL,11/20/2016,11/6/2016,SL,1
1538703135,752-46-9605,12933,BVT,BL,11/28/2016,11/6/2016,CC,1
5779657426,607-11-2666,12921,BCT,ADH,11/19/2016,11/9/2016,SL,1
6699615974,533-16-1286,12921,ADH,PLG,11/27/2016,11/1/2016,A2,2
8092710761,192-12-7945,12955,ST,AKV,11/25/2016,11/10/2016,A3,1
5919261603,158-08-6498,12961,BCT,UJN,11/21/2016,11/6/2016,2S,1
