userid,trainno,cleanliness,punctuality,tcktavlbl,railfanning,safety,cmnt
705-90-5286,00009,9,4,1,6,10,aliquam quis
154-90-7948,00010,5,8,3,10,2,sapien varius ut
752-46-9605,00011,6,5,9,3,4,pede
607-11-2666,00012,4,8,5,10,4,dapibus dolor vel est
613-39-6385,00013,1,8,10,8,3,sed vel enim sit amet
810-46-8634,00014,8,1,7,8,4,amet justo morbi ut
228-21-5110,00015,2,5,6,6,9,luctus nec molestie
519-54-6247,01038,8,3,2,7,8,id ligula suspendisse ornare
533-16-1286,18519,6,1,3,9,5,sapien varius
192-12-7945,18520,6,7,8,8,2,ut
158-08-6498,01041,4,4,4,5,9,adipiscing lorem
306-63-3807,01043,6,3,9,8,8,amet eros
261-66-3601,01045,7,10,3,10,6,morbi a ipsum integer a
793-63-3243,01047,8,9,7,5,9,arcu
936-89-4785,01048,6,10,1,10,5,cubilia
770-95-3444,01049,4,5,3,3,1,mauris
319-16-9786,00105,10,10,2,3,4,maecenas tincidunt lacus
676-12-0648,01050,1,4,6,9,2,magna
544-81-8441,02256,4,10,6,10,4,in hac
441-53-3903,02258,1,9,5,6,1,a nibh in quis justo
877-81-1762,00226,5,5,6,4,1,etiam vel augue
830-58-8735,02261,8,5,5,2,7,proin eu mi nulla ac
791-50-6579,02262,8,4,6,1,1,ac est lacinia
520-28-1263,02263,4,10,4,4,10,ut rhoncus aliquet
100-73-6246,02264,9,2,4,3,8,ipsum primis
409-76-4295,02265,10,1,1,6,2,consequat
449-20-9946,02266,4,3,4,9,3,nulla quisque arcu libero
916-47-0786,00227,3,2,9,10,8,pellentesque at nulla suspendisse
507-95-5000,02277,2,10,8,4,6,non quam
732-14-5508,02278,5,7,9,10,1,nulla mollis molestie
494-86-3114,04033,1,6,9,3,7,justo nec condimentum
932-80-9730,04034,6,4,2,4,5,id mauris vulputate elementum
543-12-1200,04039,4,3,4,2,2,nunc rhoncus dui vel
151-59-5315,04040,6,5,1,7,1,nunc vestibulum ante
665-23-2784,04041,7,4,5,3,1,rhoncus dui vel
783-97-5938,04042,7,3,4,5,4,nulla quisque
519-36-7236,04043,8,2,3,4,5,viverra eget
283-30-5146,04044,2,4,10,10,3,interdum eu tincidunt in
915-78-9179,00405,5,9,9,2,8,suscipit a feugiat et
258-22-9456,04053,8,7,7,7,2,vel
987-59-1852,04054,1,2,2,8,3,sapien varius
176-72-9315,04059,10,3,4,2,4,eu est
755-21-1705,00406,9,1,8,2,3,erat tortor sollicitudin mi
400-22-1338,00507,10,4,2,7,8,nunc vestibulum ante ipsum primis
326-64-1735,05077,3,10,6,10,1,dui vel nisl duis
424-28-8238,05078,7,9,1,6,2,blandit ultrices enim lorem ipsum
320-53-2251,05079,4,8,5,9,3,diam neque vestibulum eget vulputate
158-28-6381,00508,2,1,7,8,6,ultrices posuere cubilia
845-77-4692,05080,7,4,7,4,10,posuere metus vitae ipsum
966-49-0003,05097,5,2,7,3,4,penatibus
755-07-5344,05098,7,7,3,6,3,semper
267-98-4629,05105,7,5,3,7,2,suspendisse
950-50-0868,05106,5,9,4,9,4,morbi
245-55-9145,00511,4,10,9,3,7,felis ut at
178-76-9049,05113,4,9,1,10,4,integer
440-77-6743,05114,8,8,10,9,1,eleifend donec ut dolor morbi
185-70-3057,05115,6,3,7,5,10,vel enim sit amet nunc
481-38-5999,05116,6,3,1,4,5,quam sapien
163-76-0512,05117,4,1,4,1,9,lectus
883-07-5666,05118,7,6,5,2,2,vitae nisl aenean lectus pellentesque
515-61-0393,05119,5,4,2,2,4,in sapien iaculis congue
425-80-1561,00512,2,6,9,7,8,justo maecenas rhoncus aliquam lacus
585-92-5801,00513,3,4,4,4,9,sit amet eros
358-30-6596,00514,1,6,2,9,9,faucibus
265-58-1661,05143,2,7,1,1,6,leo odio porttitor id consequat
533-66-2546,06312,7,2,6,7,7,mauris sit amet eros
213-75-2593,06313,1,10,5,8,2,lacus morbi quis
151-59-7650,06314,10,10,5,10,5,arcu
935-82-6279,06317,8,8,3,5,9,ut massa quis
163-28-1444,06318,9,9,6,6,10,vel enim sit
104-54-6952,06319,4,6,7,5,3,massa id
565-44-7228,00632,1,7,5,5,7,nam nulla integer
167-69-4632,06320,5,8,8,4,5,sed
757-06-5640,06321,8,3,6,2,4,sollicitudin mi sit amet lobortis
513-43-4312,06325,2,3,2,1,3,potenti
480-15-2173,00633,1,4,5,8,8,odio
248-79-5544,06335,2,4,1,7,1,risus semper
946-07-4360,06337,10,6,3,2,9,magna
582-87-3274,06338,10,5,9,4,5,magna bibendum imperdiet
810-99-3560,06339,4,2,1,9,8,pulvinar sed nisl nunc
140-30-7931,00634,4,1,7,6,4,bibendum morbi non
378-96-0184,06340,1,5,2,10,1,justo sit
531-07-6095,06343,8,2,8,9,8,vel dapibus at
176-82-3453,06344,4,4,4,7,7,tempus sit amet sem
723-48-6455,06345,10,9,7,8,2,nibh in quis justo
296-35-7704,06346,7,4,7,3,3,nisi eu orci
580-22-4843,06347,3,3,4,8,5,proin leo odio porttitor
218-47-2454,06348,10,5,2,2,5,vestibulum sed magna at nunc
861-88-1886,06349,8,7,9,8,8,rutrum neque aenean auctor gravida
891-25-0943,00635,5,2,6,7,7,vivamus in felis
148-30-0310,06351,5,10,3,2,9,sed augue aliquam
948-31-0934,06352,3,10,5,7,4,et ultrices posuere cubilia curae
853-70-5308,06353,3,10,9,4,3,nec sem duis aliquam
628-41-4459,06354,6,6,3,6,5,lorem ipsum dolor sit amet
556-25-6044,06355,6,5,9,4,1,sit amet
689-31-6343,06356,4,9,7,6,3,morbi
433-25-2300,06357,9,10,6,3,10,odio curabitur
374-42-1297,06359,5,3,7,10,1,a
469-57-4846,00636,7,10,1,6,4,mattis
664-88-4124,06360,5,10,7,6,3,porttitor lorem id ligula
